acc_now_delinq,acc_open_past_24mths,addr_state,all_util,annual_inc,annual_inc_joint,application_type,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_2yrs,delinq_amnt,desc,dti,dti_joint,earliest_cr_line,emp_length,emp_title,funded_amnt
0.0,8.0,KS,42.0,65000.0,,Individual,10086.0,41055.0,17.1,0.0,0.0,0.0,,23.84,,Nov-03,10+ years,Teacher,12000.0
0.0,1.0,VT,34.0,150000.0,,Individual,61551.0,24661.0,44.0,0.0,0.0,0.0,,9.54,,Feb-96,1 year,Director,25000.0
0.0,8.0,IN,50.0,75000.0,,Individual,7176.0,23476.0,59.9,0.0,0.0,0.0,,31.88,,Oct-02,10+ years,Engineer,28000.0
0.0,7.0,OH,71.0,175000.0,,Individual,51015.0,21569.0,50.3,0.0,0.0,0.0,,18.5,,Aug-97,2 years,Vice-President,30000.0
0.0,1.0,FL,91.0,44000.0,,Individual,19041.0,0.0,102.4,0.0,0.0,0.0,,17.56,,Jun-06,< 1 year,RN,17600.0
0.0,1.0,OH,52.0,104000.0,,Individual,3068.0,8302.0,75.0,0.0,0.0,0.0,,14.01,,Nov-00,8 years,Aviation Safety Inspector,33600.0
0.0,4.0,OH,30.0,38000.0,,Individual,1150.0,6924.0,43.7,0.0,0.0,0.0,,21.07,,Jan-11,5 years,general manager,11550.0
0.0,2.0,VA,57.0,109000.0,,Individual,33976.0,17538.0,54.3,0.0,0.0,0.0,,26.02,,Dec-01,10+ years,Sales Manager,25000.0
0.0,3.0,MD,41.0,70000.0,,Individual,1835.0,18527.0,44.0,0.0,0.0,0.0,,16.9,,Jun-01,10+ years,Facilities Coordinator,20000.0
0.0,3.0,NJ,54.0,40000.0,,Individual,2128.0,10671.0,49.7,0.0,3.0,0.0,,31.95,,May-08,3 years,Salesman,12000.0
0.0,3.0,TX,64.0,70000.0,,Individual,24167.0,17922.0,61.0,0.0,0.0,0.0,,26.4,,Feb-88,1 year,Senior Structural Designer,16000.0
0.0,1.0,NC,61.0,92000.0,,Individual,13819.0,16623.0,59.9,0.0,0.0,0.0,,21.6,,May-84,10+ years,Senior Manager,28000.0
0.0,6.0,FL,87.0,50000.0,,Individual,28167.0,652.0,6.9,0.0,3.0,0.0,,17.6,,Jan-01,10+ years,Teacher,2500.0
0.0,4.0,PA,34.0,55000.0,,Individual,20701.0,1506.0,37.2,0.0,0.0,0.0,,5.91,,Aug-03,10+ years,leadman,3600.0
0.0,5.0,AZ,38.0,112000.0,,Individual,17089.0,60336.0,16.7,0.0,0.0,0.0,,8.68,,Nov-93,10+ years,GS-11,18000.0
0.0,0.0,VA,80.0,68046.0,,Individual,47745.0,6.0,99.9,0.0,1.0,0.0,,24.71,,Sep-93,10+ years,Teacher,23850.0
0.0,4.0,NC,67.0,64000.0,,Individual,19159.0,7940.0,77.0,0.0,0.0,0.0,,34.95,,Jun-96,3 years,Logistics Manager,1400.0
0.0,3.0,MA,35.0,85000.0,,Individual,2927.0,13312.0,41.6,0.0,0.0,0.0,,15.0,,Apr-05,10+ years,material handler lead,11000.0
0.0,5.0,MA,33.0,20000.0,,Individual,913.0,9831.0,41.8,0.0,1.0,0.0,,13.21,,Apr-03,9 years,Department Manager ,7200.0
0.0,6.0,SC,65.0,48000.0,,Individual,2848.0,263953.0,17.6,0.0,0.0,0.0,,33.18,,Jun-91,10+ years,Bookkeeper/Accounting,16000.0
0.0,7.0,TN,73.0,32000.0,,Individual,3887.0,5422.0,3.2,0.0,0.0,0.0,,31.02,,Nov-09,2 years,Patrol Officer,4200.0
0.0,2.0,NY,95.0,50000.0,,Individual,13412.0,350.0,98.7,0.0,0.0,0.0,,34.95,,Apr-90,2 years,Radiology Tech.,16250.0
0.0,0.0,AL,60.0,106000.0,,Individual,37486.0,12875.0,67.2,0.0,0.0,0.0,,17.36,,Apr-02,7 years,Lieutenant ,35000.0
0.0,3.0,AL,76.0,65000.0,,Individual,12455.0,4286.0,84.9,0.0,0.0,0.0,,29.28,,Aug-01,10+ years,Senior Buyer,15000.0
0.0,3.0,AZ,89.0,60000.0,,Individual,6435.0,2382.0,84.2,0.0,0.0,0.0,,24.29,,Aug-09,2 years,Accountant,14000.0
0.0,8.0,NY,60.0,102500.0,,Individual,14073.0,983.0,89.1,0.0,0.0,0.0,,26.21,,Jan-99,10+ years,Manager,4200.0
0.0,0.0,GA,76.0,34000.0,,Individual,2560.0,844.0,91.0,0.0,0.0,0.0,,10.2,,Oct-87,4 years,Veterinary Tecnician,11950.0
0.0,8.0,FL,21.0,60000.0,,Individual,2428.0,141793.0,11.2,0.0,0.0,0.0,,18.01,,Feb-89,10+ years,Office Manager,28800.0
0.0,0.0,KS,22.0,35000.0,,Individual,815.0,2233.0,14.1,0.0,2.0,0.0,,15.22,,Jul-11,5 years,mechanic,4225.0
0.0,8.0,MA,63.0,50000.0,,Individual,19881.0,9949.0,47.6,0.0,0.0,0.0,,19.25,,Aug-87,10+ years,Site lead,7200.0
0.0,7.0,CA,55.0,150000.0,,Individual,2014.0,5128.0,51.3,0.0,0.0,0.0,,9.39,,Jun-05,7 years,Software Manager,18000.0
0.0,2.0,VA,50.0,44000.0,,Individual,2429.0,7011.0,51.0,0.0,0.0,0.0,,15.34,,Jun-02,10+ years,DEPUTY SHERIFF,15000.0
0.0,3.0,IL,82.0,110000.0,,Individual,5356.0,523.0,97.6,0.0,0.0,0.0,,12.45,,Jun-07,6 years,GM,20000.0
0.0,0.0,OH,93.0,43160.0,,Individual,5234.0,0.0,101.6,0.0,0.0,0.0,,21.44,,Oct-05,2 years,Senior Service Specialist,14650.0
0.0,5.0,OR,42.0,92000.0,,Individual,44714.0,23397.0,35.2,0.0,0.0,0.0,,13.89,,Nov-01,3 years,Electronic Branch Manager,15000.0
0.0,4.0,GA,71.0,85000.0,,Individual,14258.0,3764.0,84.9,0.0,0.0,0.0,,28.52,,Nov-99,2 years,Division General Manager,28000.0
0.0,1.0,MD,87.0,79000.0,,Individual,11884.0,0.0,101.4,0.0,0.0,0.0,,12.7,,Oct-11,2 years,General Manager,5000.0
0.0,7.0,MD,51.0,65000.0,,Individual,15732.0,18383.0,45.9,0.0,0.0,0.0,,21.77,,May-04,10+ years,Corporate Insurance,29900.0
0.0,6.0,IL,65.0,63000.0,71000.0,Joint App,31617.0,2737.0,55.9,0.0,0.0,0.0,,10.78,13.85,Aug-00,10+ years,truck driver,20000.0
0.0,3.0,OH,61.0,105000.0,,Individual,20321.0,2953.0,51.6,0.0,0.0,0.0,,14.45,,May-06,10+ years,Road driver,6000.0
0.0,3.0,TX,89.0,54649.0,,Individual,5721.0,4319.0,26.8,0.0,0.0,0.0,,12.14,,Oct-99,2 years,Teacher,21000.0
0.0,5.0,DE,54.0,110000.0,,Individual,5505.0,1106.0,94.9,0.0,0.0,0.0,,20.43,,Aug-86,2 years,Regional Sales Direcdtor,23100.0
0.0,2.0,SC,50.0,60000.0,,Individual,7912.0,4778.0,61.8,0.0,0.0,0.0,,22.44,,Jun-96,8 years,tech,9600.0
0.0,4.0,OH,76.0,39000.0,,Individual,10201.0,2618.0,78.9,0.0,0.0,0.0,,27.78,,Sep-02,10+ years,IT Help Desk Support ,17925.0
0.0,13.0,NY,61.0,75000.0,,Individual,17783.0,9044.0,68.9,0.0,0.0,0.0,,20.84,,Apr-07,4 years,hvac technician,24250.0
0.0,5.0,OH,53.0,45000.0,,Individual,2649.0,12808.0,35.6,0.0,0.0,0.0,,34.85,,Jan-07,10+ years,Lead manufacturing ,15850.0
0.0,6.0,MO,53.0,118000.0,,Individual,28618.0,4751.0,62.3,0.0,0.0,0.0,,34.29,,Jun-97,10+ years,CEO,16800.0
0.0,3.0,DC,40.0,128000.0,,Individual,8639.0,17248.0,35.6,0.0,0.0,0.0,,6.46,,Feb-90,10+ years,Foreign Service Officer,35000.0
0.0,6.0,MN,74.0,180000.0,,Individual,30030.0,0.0,102.9,0.0,0.0,0.0,,14.67,,Jun-90,10+ years,Vice President of Recruiting Operations,20000.0
0.0,5.0,TX,63.0,70000.0,,Individual,13763.0,11617.0,57.8,0.0,0.0,0.0,,13.2,,Jun-02,10+ years,Supply Chain Coord.,18500.0
0.0,3.0,KS,82.0,70100.0,,Individual,5265.0,2420.0,77.4,0.0,0.0,0.0,,8.51,,Aug-08,3 years,Software Engineer,10500.0
0.0,3.0,NC,65.0,72000.0,,Individual,12915.0,,,0.0,0.0,0.0,,6.52,,Jan-02,6 years,Accounts Payable Manager,5000.0
0.0,2.0,AL,64.0,65000.0,,Individual,5683.0,3684.0,21.6,0.0,0.0,0.0,,18.96,,Dec-85,10+ years,"Owner, Fee Appraiser ",16000.0
0.0,5.0,NM,90.0,109000.0,,Individual,16631.0,0.0,100.8,0.0,0.0,0.0,,23.35,,Apr-02,< 1 year,Professional Sales Associate,16000.0
0.0,2.0,NJ,45.0,110000.0,,Individual,23192.0,54962.0,12.1,0.0,0.0,0.0,,17.06,,Sep-08,10+ years,Information Systems Officer,35000.0
0.0,12.0,NY,108.0,55000.0,,Individual,11493.0,1521.0,77.3,0.0,0.0,0.0,,17.35,,Jun-05,< 1 year,Bank Officer Senior Customer Care Spec.,7200.0
0.0,2.0,FL,54.0,47590.0,,Individual,5122.0,10318.0,70.7,0.0,0.0,0.0,,17.76,,Apr-01,< 1 year,Wire Technician,21875.0
0.0,8.0,WA,34.0,75000.0,,Individual,2864.0,48533.0,5.9,0.0,0.0,0.0,,23.45,,May-92,5 years,Manager,20000.0
0.0,7.0,FL,36.0,77213.0,,Individual,9720.0,6962.0,49.6,0.0,0.0,0.0,,18.17,,Dec-01,4 years,Counselor,15000.0
0.0,4.0,SC,55.0,85000.0,,Individual,17700.0,13674.0,5.7,0.0,1.0,0.0,,17.61,,Feb-99,10+ years,road driver,20000.0
0.0,3.0,NE,24.0,44500.0,,Individual,1995.0,11498.0,4.2,0.0,0.0,0.0,,15.83,,Sep-03,2 years,Store Manager,4000.0
0.0,7.0,NJ,42.0,110000.0,,Individual,20490.0,10457.0,62.9,0.0,0.0,0.0,,13.24,,Dec-02,6 years,Senior Associate,15000.0
0.0,7.0,MI,49.0,45000.0,,Individual,5926.0,1188.0,79.5,0.0,0.0,0.0,,21.23,,Jan-98,< 1 year,Counselor,8000.0
0.0,12.0,MD,28.0,79000.0,,Individual,8556.0,57049.0,21.4,0.0,0.0,0.0,,34.53,,Jun-01,9 years,Executive Assistant,25000.0
0.0,7.0,NY,82.0,65000.0,,Individual,18316.0,3924.0,87.7,0.0,0.0,0.0,,25.63,,Nov-02,10+ years,groundsman,27300.0
0.0,4.0,CO,85.0,55000.0,,Individual,20578.0,287.0,97.4,0.0,0.0,0.0,,35.7,,Apr-01,2 years,Educator ,10000.0
0.0,5.0,WI,75.0,39000.0,,Individual,5032.0,578.0,93.4,0.0,0.0,0.0,,18.0,,Aug-01,10+ years,accts payable,14025.0
0.0,1.0,NY,63.0,125000.0,,Individual,3797.0,10607.0,63.4,0.0,0.0,0.0,,7.49,,May-00,2 years,Director of Product Development ,28000.0
0.0,3.0,IN,67.0,42500.0,,Individual,4117.0,7288.0,44.4,0.0,0.0,0.0,,31.04,,Dec-98,10+ years,CARDIOVASCULAR TECH,10000.0
0.0,8.0,HI,52.0,45000.0,,Individual,15864.0,8818.0,27.7,0.0,0.0,0.0,,16.11,,Dec-87,n/a,,1500.0
0.0,5.0,KS,63.0,88000.0,,Individual,12057.0,11397.0,51.7,0.0,0.0,0.0,,26.59,,May-01,< 1 year,Network Security Specialist III,17600.0
0.0,1.0,TN,7.0,77900.0,,Individual,14157.0,27172.0,10.9,0.0,0.0,0.0,,10.24,,Oct-82,n/a,,24000.0
0.0,5.0,RI,49.0,42000.0,,Individual,28528.0,9966.0,41.4,0.0,0.0,0.0,,34.8,,Nov-94,10+ years,Vendor liaison,8000.0
0.0,3.0,NY,68.0,64000.0,,Individual,3549.0,15603.0,60.5,0.0,0.0,0.0,,18.28,,Sep-01,5 years,Teacher,23000.0
0.0,2.0,VA,77.0,70000.0,,Individual,6406.0,1249.0,97.2,0.0,0.0,0.0,,33.2,,Jun-95,10+ years,Principal,23975.0
0.0,5.0,RI,62.0,145000.0,,Individual,39020.0,2822.0,81.6,0.0,0.0,0.0,,12.28,,Feb-04,10+ years,President,20000.0
0.0,4.0,GA,53.0,72500.0,,Individual,29558.0,10051.0,35.2,0.0,0.0,0.0,,8.47,,Aug-04,10+ years,Legal Administrative Assistant,7200.0
0.0,5.0,OH,67.0,69000.0,,Individual,22864.0,463.0,94.6,0.0,0.0,0.0,,21.34,,Sep-04,10+ years,PRINTER,11000.0
0.0,5.0,FL,27.0,47000.0,,Individual,812.0,20142.0,32.2,0.0,0.0,0.0,,8.43,,Nov-00,8 years,Office Manager,9000.0
0.0,6.0,CA,51.0,60000.0,,Individual,4322.0,9516.0,46.5,0.0,0.0,0.0,,34.84,,Jun-04,4 years,Manager,20200.0
0.0,5.0,WA,65.0,98000.0,,Individual,26756.0,3884.0,83.9,0.0,0.0,0.0,,24.04,,Feb-02,1 year,Public Affairs Specialist ,12000.0
0.0,3.0,CA,52.0,39400.0,,Individual,10214.0,8209.0,49.6,0.0,0.0,0.0,,26.32,,Sep-06,4 years,Registered Veterinary Technitian ,12000.0
0.0,3.0,CT,44.0,90000.0,,Individual,28037.0,6087.0,62.7,0.0,0.0,0.0,,6.39,,Jan-96,10+ years,Unix System Administrator,16000.0
0.0,2.0,NY,15.0,65000.0,,Individual,1287.0,73931.0,3.0,0.0,0.0,0.0,,18.83,,May-91,9 years,driver,20000.0
